entity_from,relationship_type,relationship_sub_type,entity_to
Alice,Ownership,Direct,Acme Pte Ltd
Acme Pte Ltd,Subsidiary,100% Owned,Acme Malaysia
Bob,Director,Board Member,Acme Pte Ltd
Charlie,Shareholder,Major,Acme Malaysia
Alice,Investor,Angel,Beta Ltd
Beta Ltd,Ownership,Minor,Beta Malaysia
Sigma Digital Sdn Bhd,Shareholder,Minor,Pacific Holdings Berhad
Titan Resources Co.,Director,CEO,Alpha Media Sdn Bhd
Titan Ecommerce Ltd,Ownership,Significant,Beta Infra Corp
Nexus Assets LLC,Subsidiary,90% Owned,Fusion Finance BV
Elite Assets Corp,Shareholder,Minor,Fusion Digital LLC (SG)
Crest Systems International,Subsidiary,60% Owned,Elite Pay Enterprises
Alpha Energy Limited,Subsidiary,60% Owned,Apex Ventures GmbH
Prime Ventures Co Ltd,Ownership,Controlling,Elite Digital Pte Ltd
Synergy Health Ltd,Director,Independent Director,Global Ventures Limited
Orion Assets Pt,Ownership,Indirect,Pacific Ventures Co Ltd
Beta Investments Co.,Subsidiary,85% Owned,Nova Manufacturing Pte Ltd
Beta Digital Pte Ltd,Ownership,Significant,Titan Group International
Quantum Ventures International,Shareholder,Major,Gamma Media Co.
Prime Assets Co.,Ownership,Significant,Atlas Partners Pt (BVI)
Synergy Assets LLC,Shareholder,Minor,Atlas Group Co Ltd
Summit Capital BV,Ownership,Direct,Vertex Assets Enterprises
Crest Digital Enterprises,Ownership,Significant,Vertex Systems PLC
Pacific Infra SARL,Ownership,Minor,Zenith Pay LLC
Gamma Pay Enterprises,Ownership,Controlling,Sigma Media Ltd (TH)
Summit Partners Berhad,Ownership,Controlling,Nexus Solutions Co. (KY)
Fusion Investments SARL,Ownership,Minor,Vertex Energy SARL
Sigma Pay GmbH,Shareholder,Minor,Pinnacle Ventures Co.
Pinnacle Tech Inc,Subsidiary,60% Owned,Catalyst Holdings Co.
Sigma Ecommerce PLC,Ownership,Significant,Vertex Infra LLC
Horizon Media Inc,Ownership,Major,Elite Properties International
Apex Investments PLC,Ownership,Major,Synergy Assets SARL (KY)
Fusion Health Corp,Ownership,Major,Zenith Systems Ltd (ID)
Nova Manufacturing SARL,Shareholder,Major,Orion Tech Berhad (BVI)
Fusion Ecommerce Ltd,Ownership,Controlling,Nova Resources Corp
Elite Tech GmbH,Ownership,Major,Zenith Group PLC
Nexus Media Pte Ltd,Shareholder,Minor,Pacific Ventures Enterprises
Sigma Solutions Pt,Ownership,Direct,Beta Finance Pte Ltd
Orion Holdings Ltd,Ownership,Indirect,Zenith Manufacturing Pte Ltd
Crest Holdings Sdn Bhd,Ownership,Significant,Omega Digital PLC (HK)
Prime Manufacturing Berhad,Ownership,Indirect,Alpha Infra Corp
Apex Health Pt,Ownership,Indirect,Global Finance LLC
Beta Manufacturing Co Ltd,Ownership,Controlling,Catalyst Logistics LLC
Zenith Tech SARL,Director,Chairman,Synergy Investments Ltd
Beta Group PLC,Shareholder,Minor,Quantum Solutions Co Ltd
Synergy Finance Corp,Ownership,Minor,Pacific Solutions Co Ltd
Vertex Finance Corp,Ownership,Significant,Asia Resources Co.
Pacific Logistics GmbH,Ownership,Indirect,Gamma Digital SARL
Elite Tech Corp,Director,CFO,Titan Pay Co.
Pacific Assets Enterprises,Subsidiary,51% Owned,Zenith Assets Ltd
Titan Solutions Berhad,Subsidiary,85% Owned,Zenith Group GmbH
Pinnacle Solutions International,Shareholder,Institutional,Apex Tech Pt
Beta Properties Berhad,Subsidiary,60% Owned,Omega Group Enterprises
Sigma Group Corp,Subsidiary,75% Owned,Gamma Resources Ltd (HK)
Vertex Systems International,Ownership,Minor,Global Finance Co.
Sigma Energy Corp,Ownership,Major,Pacific Systems Ltd
Synergy Health LLC,Ownership,Major,Asia Tech Co. (TH)
Horizon Finance Co.,Ownership,Major,Quantum Finance Ltd
Delta Energy GmbH,Subsidiary,85% Owned,Zenith Infra Co.
Apex Assets Limited,Ownership,Direct,Fusion Ecommerce LLC (MY)
Alpha Ventures Inc,Ownership,Minor,Nova Pay Co. (MY)
Zenith Logistics Limited,Ownership,Major,Catalyst Logistics PLC
Stellar Ventures BV,Ownership,Controlling,Delta Resources Co Ltd
Beta Properties Berhad,Subsidiary,85% Owned,Orion Systems Sdn Bhd (BVI)
Pacific Health PLC,Ownership,Major,Quantum Systems Corp (KY)
Zenith Holdings Co Ltd,Ownership,Controlling,Apex Finance LLC
Prime Logistics Pte Ltd,Ownership,Minor,Delta Assets SARL
Fusion Resources Corp,Ownership,Controlling,Nexus Partners Pt (HK)
Vantage Manufacturing Co.,Ownership,Major,Vertex Group PLC
Gamma Finance PLC,Ownership,Major,Orion Pay International
Titan Ventures Corp,Investor,Venture Capital,Titan Finance Enterprises
Delta Manufacturing GmbH,Investor,Series B,Apex Systems Sdn Bhd
Horizon Systems SARL,Ownership,Major,Orion Energy BV (KY)
Sigma Logistics BV,Subsidiary,85% Owned,Pinnacle Digital SARL
Summit Finance Sdn Bhd,Ownership,Major,Summit Energy LLC (ID)
Crest Systems Ltd,Subsidiary,85% Owned,Orion Resources Ltd
Summit Logistics Berhad,Subsidiary,75% Owned,Synergy Health GmbH (HK)
Alpha Resources Berhad,Subsidiary,85% Owned,Synergy Digital GmbH (MY)
Asia Energy SARL,Investor,Venture Capital,Delta Media Corp
Sigma Properties Inc,Ownership,Major,Omega Partners Limited
Delta Investments Enterprises,Director,CEO,Pacific Capital Pt
Zenith Pay Co.,Ownership,Controlling,Nexus Ecommerce Inc (SG)
Orion Media SARL,Subsidiary,100% Owned,Synergy Digital Co Ltd (ID)
Sigma Holdings Sdn Bhd,Ownership,Minor,Vantage Tech PLC
Nova Group Sdn Bhd,Subsidiary,51% Owned,Horizon Capital Co Ltd
Catalyst Investments BV,Director,Chairman,Orion Pay LLC
Alpha Manufacturing Inc,Investor,Angel,Nova Solutions Co Ltd
Delta Health Limited,Director,Independent Director,Beta Infra Pt
Fusion Partners Berhad,Subsidiary,75% Owned,Atlas Assets PLC (MY)
Atlas Capital Pt,Subsidiary,51% Owned,Stellar Ecommerce Ltd
Summit Finance Co.,Subsidiary,100% Owned,Orion Ventures Berhad (KY)
Beta Media Enterprises,Ownership,Indirect,Catalyst Infra Pte Ltd
Prime Tech Limited,Director,CFO,Sigma Assets Pte Ltd (TH)
Gamma Capital Co.,Subsidiary,60% Owned,Catalyst Digital Co Ltd
Pacific Solutions Berhad,Shareholder,Major,Vantage Partners PLC
Apex Partners PLC,Subsidiary,60% Owned,Asia Group BV (HK)
Apex Infra International,Subsidiary,75% Owned,Quantum Properties SARL (TH)
Titan Logistics PLC,Ownership,Controlling,Horizon Health Pte Ltd (SG)
Orion Solutions Berhad,Investor,Private Equity,Crest Ventures Co Ltd
Stellar Ecommerce International,Director,Managing Director,Nova Investments Enterprises
Vantage Group Pt,Ownership,Major,Summit Resources LLC (BVI)
Quantum Investments GmbH,Shareholder,Major,Delta Resources Co Ltd (ID)
Stellar Media SARL,Subsidiary,51% Owned,Orion Ecommerce Berhad
Fusion Energy Inc,Ownership,Direct,Atlas Health Sdn Bhd
Atlas Logistics Pt,Ownership,Controlling,Victory Properties Corp
Pinnacle Properties Limited,Shareholder,Major,Orion Systems Corp
Asia Ventures PLC,Subsidiary,90% Owned,Elite Systems SARL
Synergy Finance Berhad,Ownership,Major,Orion Ecommerce Berhad
Ms. Chen,Director,Managing Director,Fusion Resources Co. (SG)
Catalyst Capital Corp,Investor,Series A,Delta Systems Inc
Quantum Digital PLC,Ownership,Minor,Alpha Capital Co Ltd
Zenith Investments Sdn Bhd,Ownership,Major,Global Holdings Limited (SG)
Synergy Digital Berhad,Subsidiary,85% Owned,Nova Ecommerce Co Ltd
Orion Holdings Pt,Ownership,Controlling,Nexus Pay Pt
Sigma Properties Ltd,Ownership,Indirect,Omega Digital Co Ltd (TH)
Atlas Ecommerce BV,Director,CTO,Crest Finance BV (SG)
Prime Tech Berhad,Ownership,Minor,Beta Pay Co. (KY)
Fusion Systems LLC,Subsidiary,75% Owned,Catalyst Digital Pte Ltd
Apex Pay Berhad,Subsidiary,51% Owned,Beta Group Corp
Alpha Ventures Pt,Ownership,Direct,Catalyst Assets Corp
Quantum Ventures GmbH,Ownership,Minor,Delta Health GmbH
Stellar Logistics Limited,Shareholder,Minor,Gamma Manufacturing Limited
Delta Investments BV,Subsidiary,51% Owned,Gamma Partners International
Atlas Holdings Ltd,Director,CFO,Omega Tech Pt (HK)
Orion Properties Berhad,Ownership,Significant,Apex Group Sdn Bhd (HK)
Alpha Ecommerce Limited,Subsidiary,75% Owned,Beta Digital Pt
Atlas Logistics LLC,Shareholder,Major,Horizon Holdings Sdn Bhd
Alpha Logistics SARL,Ownership,Major,Crest Digital Corp
Asia Ventures Corp,Ownership,Major,Gamma Pay Enterprises
Vantage Ventures Ltd,Shareholder,Institutional,Alpha Resources Sdn Bhd
Orion Manufacturing LLC,Ownership,Major,Titan Systems Pte Ltd
Sigma Systems Sdn Bhd,Director,Executive Director,Crest Partners Enterprises
Alpha Digital Co.,Investor,Angel,Synergy Ecommerce Berhad
Synergy Partners SARL,Ownership,Minor,Apex Solutions Enterprises (BVI)
Gamma Partners Pte Ltd,Ownership,Direct,Crest Capital Sdn Bhd (HK)
Atlas Tech International,Subsidiary,51% Owned,Pinnacle Solutions Berhad
Prime Holdings International,Shareholder,Minor,Global Ventures GmbH (SG)
Horizon Media GmbH,Ownership,Direct,Omega Health GmbH
Asia Capital Ltd,Subsidiary,90% Owned,Vantage Digital Co.
Beta Energy BV,Shareholder,Major,Asia Partners Pt
Orion Digital GmbH,Shareholder,Institutional,Pinnacle Group Enterprises
Quantum Capital Ltd,Ownership,Indirect,Horizon Infra Berhad (KY)
Asia Ventures Co Ltd,Director,Non-Executive,Gamma Ecommerce PLC (MY)
Pacific Logistics Enterprises,Ownership,Indirect,Fusion Finance Co. (ID)
Omega Logistics Co Ltd,Ownership,Major,Vertex Assets Limited (KY)
Elite Infra LLC,Ownership,Significant,Atlas Group Inc
Fusion Holdings International,Ownership,Indirect,Victory Resources SARL
Omega Solutions Corp,Ownership,Significant,Beta Infra PLC
Horizon Holdings PLC,Ownership,Minor,Orion Ecommerce PLC
Atlas Energy Pte Ltd,Ownership,Direct,Horizon Infra Sdn Bhd (HK)
Summit Digital Enterprises,Subsidiary,85% Owned,Prime Ecommerce Ltd
Titan Systems Co Ltd,Director,CEO,Sigma Tech Sdn Bhd
Beta Logistics Limited,Shareholder,Minor,Catalyst Group Co. (KY)
Fusion Media Co.,Shareholder,Minor,Asia Investments BV
Summit Logistics SARL,Subsidiary,100% Owned,Orion Partners GmbH
Vertex Manufacturing SARL,Ownership,Major,Synergy Ventures Co.
Pacific Properties PLC,Ownership,Indirect,Orion Investments Co.
Alpha Health GmbH,Ownership,Controlling,Asia Pay Inc
Catalyst Finance Pte Ltd,Shareholder,Institutional,Crest Solutions Co Ltd
Zenith Resources SARL,Ownership,Major,Victory Investments BV (HK)
Dr. Wong,Director,CFO,Nova Capital Berhad
Vertex Manufacturing Pt,Ownership,Major,Titan Systems GmbH
Vantage Group Co Ltd,Investor,Angel,Stellar Manufacturing Inc
Prime Digital Co.,Subsidiary,85% Owned,Victory Digital Co Ltd
Nova Energy Limited,Ownership,Major,Horizon Pay LLC
Asia Ventures Sdn Bhd,Shareholder,Major,Omega Health PLC
Gamma Health Pte Ltd,Ownership,Controlling,Global Holdings SARL
Catalyst Systems Ltd,Ownership,Minor,Pinnacle Finance Berhad
Nexus Capital BV,Ownership,Indirect,Nexus Partners International
Titan Pay Ltd,Subsidiary,90% Owned,Pinnacle Logistics Pte Ltd
Prime Partners Ltd,Subsidiary,85% Owned,Pinnacle Logistics Enterprises
Vantage Ventures BV,Ownership,Significant,Stellar Digital Co Ltd
Beta Logistics BV,Ownership,Direct,Catalyst Resources Sdn Bhd
Elite Systems International,Ownership,Direct,Catalyst Assets Pte Ltd (HK)
Crest Digital Pte Ltd,Subsidiary,75% Owned,Gamma Properties Corp
Quantum Partners SARL,Ownership,Minor,Atlas Group BV
Nova Finance Co.,Shareholder,Major,Global Manufacturing Limited (TH)
Atlas Investments Limited,Ownership,Minor,Sigma Logistics LLC
Nexus Pay Co Ltd,Ownership,Indirect,Apex Systems BV
Summit Logistics Pte Ltd,Ownership,Direct,Beta Capital SARL
Sigma Digital Ltd,Ownership,Significant,Summit Capital International (TH)
Fusion Systems Co Ltd,Ownership,Indirect,Victory Digital SARL
Stellar Logistics Inc,Ownership,Significant,Global Finance Corp
Horizon Solutions Ltd,Director,Executive Director,Zenith Group Ltd
Stellar Group Enterprises,Subsidiary,60% Owned,Prime Systems SARL (ID)
Pinnacle Media Enterprises,Shareholder,Minor,Vantage Energy SARL (ID)
Apex Partners LLC,Ownership,Direct,Quantum Logistics Inc
Apex Health Ltd,Ownership,Controlling,Summit Solutions Co. (KY)
Quantum Solutions GmbH,Subsidiary,60% Owned,Global Digital Sdn Bhd
Vertex Solutions Co.,Director,CFO,Elite Partners Pt (ID)
Pacific Investments Pt,Director,CEO,Nova Health Co. (SG)
Beta Infra Co.,Ownership,Indirect,Stellar Logistics Berhad
Global Logistics Co Ltd,Ownership,Minor,Horizon Finance Berhad (BVI)
Zenith Ecommerce Corp,Subsidiary,75% Owned,Beta Solutions BV (BVI)
Catalyst Energy Ltd,Ownership,Indirect,Nova Energy BV
Vantage Pay PLC,Subsidiary,60% Owned,Nova Energy Enterprises
Victory Media LLC,Investor,Series C,Prime Ecommerce Limited (MY)
Zenith Tech Sdn Bhd,Director,Executive Director,Horizon Tech Enterprises
Crest Energy Berhad,Shareholder,Institutional,Elite Ecommerce Berhad (KY)
Apex Infra Pte Ltd,Ownership,Direct,Beta Partners Co. (TH)
Delta Health Berhad,Subsidiary,60% Owned,Delta Infra Inc
Atlas Capital Inc,Subsidiary,75% Owned,Atlas Assets Inc (HK)
Vantage Energy Corp,Subsidiary,90% Owned,Beta Manufacturing International
Asia Investments Limited,Ownership,Direct,Victory Systems Co.
